scenario_label,source_id,source_name,source_file,source_sheet,dataset_id,record_id,doi,source_title,source_year,modelling_group_id,task_type,sample_weight,alloy,alloy_family,am_process,machine_model,laser_power_W,scan_speed_mm_s,hatch_spacing_um,layer_thickness_um,ved_J_mm3,build_orientation,test_direction,scan_strategy,heat_treatment,surface_condition,post_processing,porosity_percent,relative_density_percent,density_measurement_method,defect_type,uts_MPa,elongation_percent,yield_strength_MPa,youngs_modulus_GPa,hardness_HV,stress_amplitude_MPa,max_stress_MPa,r_ratio,frequency_Hz,test_temperature_C,fatigue_life_cycles,log10_fatigue_life_cycles,runout,measured_fatigue_life_cycles
Scenario A - Ti-6Al-4V,fatigue_am_alloys_figshare_2023,Fatigue Database of Additively Manufactured Alloys,C:\Users\13105\Desktop\AI-Enabled-Minimal-Viable-Testing-for-Additive-Manufacturing\data\raw\open_datasets\fatigue_database\FatigueData-AM2022.xlsx,S-N,209.0,sn_fatigue_S-N_dataset_209_row_004451,10.1016/j.addma.2022.103117,Fatigue performance of laser powder bed fusion hydride-dehydride Ti-6Al-4V powder,2022.0,fatigue_am_alloys_figshare_2023::209,model2_sn_fatigue,0.8072602117020585,Ti-6Al-4V,Ti alloy,L-PBF,EOS M290,370.0,1250.0,90.0,60.0,54.81481481481482,90,,stripe,,,"HT 650 C, 2 hour; SURF machine; SURF polish",,,,,,,,,,497.8579422883899,,-1.0,30.0,25.0,8174.792212324297,3.9124767225325887,False,8174.792212324297
Scenario B - AlSi10Mg,fatigue_am_alloys_figshare_2023,Fatigue Database of Additively Manufactured Alloys,C:\Users\13105\Desktop\AI-Enabled-Minimal-Viable-Testing-for-Additive-Manufacturing\data\raw\open_datasets\fatigue_database\FatigueData-AM2022.xlsx,S-N,502.0,sn_fatigue_S-N_dataset_502_row_007202,10.1016/j.ijfatigue.2020.105737,Fatigue strength assessment of as built AlSi10Mg manufactured by SLM with different build orientations,2020.0,fatigue_am_alloys_figshare_2023::502,model2_sn_fatigue,0.7265341905318528,AlSi10Mg,Al alloy,L-PBF,SLM 280HL,350.0,1650.0,130.0,50.0,32.63403263403263,0,,stripe,,,NHT; SURF as-built,,,,,379.0,4.65,227.5,71.95,,208.03689578400056,,0.1,40.0,25.0,43401.10375841872,4.637500774445579,False,43401.10375841872
